11-04-2023,04:15,04:02,12424,Rajdhani Express,0,0
11-04-2023,06:40,06:41,12424,Rajdhani Express,1,0
11-04-2023,08:24,08:34,12424,Rajdhani Express,0,0
11-04-2023,09:45,09:49,12424,Rajdhani Express,0,0
11-04-2023,11:10,11:36,12424,Rajdhani Express,0,0
11-04-2023,12:35,12:41,12424,Rajdhani Express,0,0
11-04-2023,14:33,14:27,12424,Rajdhani Express,0,0
11-04-2023,15:45,15:45,12424,Rajdhani Express,0,0
11-04-2023,16:32,16:20,12424,Rajdhani Express,0,0
11-04-2023,18:04,18:04,12424,Rajdhani Express,0,0
11-04-2023,19:25,19:03,12424,Rajdhani Express,0,0
11-04-2023,21:08,21:00,12424,Rajdhani Express,0,1
11-04-2023,22:45,22:20,12424,Rajdhani Express,0,1
12-04-2023,00:10,00:14,12424,Rajdhani Express,0,0
12-04-2023,02:33,02:11,12424,Rajdhani Express,1,0
12-04-2023,04:46,04:56,12424,Rajdhani Express,1,0
12-04-2023,06:00,06:00,12424,Rajdhani Express,1,0
